"geoid","GEO.display-label","occ","oou","rou","mhi_occ","mhi_oou","mhi_rou","mhc_occ","mhc_oou","mhc_rou"
"25001010100","Census Tract 101, Barnstable County, Massachusetts",1782,1165,617,36958,56484,25128,1153,1504,990
"25001010206","Census Tract 102.06, Barnstable County, Massachusetts",1548,1278,270,45735,53611,22045,922,929,916
"25001010208","Census Tract 102.08, Barnstable County, Massachusetts",820,676,144,,,,1007,1097,885
"25001010304","Census Tract 103.04, Barnstable County, Massachusetts",961,802,159,72264,73839,61283,1088,1105,1055
"25001010306","Census Tract 103.06, Barnstable County, Massachusetts",1330,1119,211,52303,56769,43375,1063,1043,1137
"25001010400","Census Tract 104, Barnstable County, Massachusetts",1529,1137,392,48218,76190,26700,1163,1477,1063
"25001010500","Census Tract 105, Barnstable County, Massachusetts",1352,1123,229,69154,84201,14301,1232,1488,436
"25001010600","Census Tract 106, Barnstable County, Massachusetts",1538,1240,298,67781,74643,21786,1100,1267,857
"25001010700","Census Tract 107, Barnstable County, Massachusetts",1278,1060,218,66429,82422,30729,1183,1175,1222
"25001010800","Census Tract 108, Barnstable County, Massachusetts",2257,1880,377,72426,82407,22401,1217,1280,804
"25001010900","Census Tract 109, Barnstable County, Massachusetts",2015,1604,411,63277,68478,39028,1149,1182,1090
"25001011002","Census Tract 110.02, Barnstable County, Massachusetts",1800,1453,347,59613,70993,33466,1242,1391,998
"25001011100","Census Tract 111, Barnstable County, Massachusetts",1957,1677,280,76080,79926,70889,1559,1596,1239
"25001011200","Census Tract 112, Barnstable County, Massachusetts",1673,1394,279,66140,67902,34013,1130,1149,1076
"25001011300","Census Tract 113, Barnstable County, Massachusetts",1337,1213,124,66995,81397,17794,1094,1130,985
"25001011400","Census Tract 114, Barnstable County, Massachusetts",1501,1313,188,62578,64734,17132,1050,1029,1156
"25001011500","Census Tract 115, Barnstable County, Massachusetts",1832,1303,529,46111,53007,21589,1022,1046,895
"25001011600","Census Tract 116, Barnstable County, Massachusetts",1252,919,333,41444,53413,19112,1046,1109,968
"25001011700","Census Tract 117, Barnstable County, Massachusetts",887,699,188,57050,73185,24833,987,994,974
"25001011801","Census Tract 118.01, Barnstable County, Massachusetts",1292,1155,137,53769,62375,45186,1186,1208,861
"25001011802","Census Tract 118.02, Barnstable County, Massachusetts",1728,1570,158,65300,65313,65278,1419,1438,1370
"25001012001","Census Tract 120.01, Barnstable County, Massachusetts",2795,2279,516,52917,57225,34477,1298,1331,1158
"25001012002","Census Tract 120.02, Barnstable County, Massachusetts",1376,711,665,44272,61734,39542,966,1022,944
"25001012101","Census Tract 121.01, Barnstable County, Massachusetts",2324,1779,545,62594,61587,66122,1227,1066,1386
"25001012102","Census Tract 121.02, Barnstable County, Massachusetts",1360,1015,345,59716,70536,41705,1107,1155,1039
"25001012200","Census Tract 122, Barnstable County, Massachusetts",2084,1763,321,,,,1628,1655,1526
"25001012502","Census Tract 125.02, Barnstable County, Massachusetts",1594,917,677,53030,60144,24708,1210,1415,1077
"25001012601","Census Tract 126.01, Barnstable County, Massachusetts",1296,922,374,,,,1307,1538,1054
"25001012602","Census Tract 126.02, Barnstable County, Massachusetts",1907,1042,865,36613,52879,26176,1313,1450,1219
"25001012700","Census Tract 127, Barnstable County, Massachusetts",1965,1410,555,68554,80000,31922,1366,1393,1326
"25001012800","Census Tract 128, Barnstable County, Massachusetts",1701,1526,175,,,,1238,1301,1020
"25001012900","Census Tract 129, Barnstable County, Massachusetts",1671,1519,152,,,,1347,1309,1504
"25001013002","Census Tract 130.02, Barnstable County, Massachusetts",1454,1136,318,65625,69186,58077,1371,1296,1708
"25001013100","Census Tract 131, Barnstable County, Massachusetts",2207,2025,182,84391,84391,78750,1447,1415,2009
"25001013200","Census Tract 132, Barnstable County, Massachusetts",2109,1972,137,67060,66528,88869,1593,1558,1689
"25001013300","Census Tract 133, Barnstable County, Massachusetts",1425,1064,361,59306,74359,28782,1253,1389,1036
"25001013400","Census Tract 134, Barnstable County, Massachusetts",1558,1417,141,94722,95117,75179,1854,1885,1564
"25001013500","Census Tract 135, Barnstable County, Massachusetts",2454,2198,256,92905,96655,66000,1758,1774,1375
"25001013600","Census Tract 136, Barnstable County, Massachusetts",2116,1726,390,87574,83929,90395,1750,1795,1648
"25001013700","Census Tract 137, Barnstable County, Massachusetts",1795,1270,525,61361,84583,32356,1282,1500,904
"25001013800","Census Tract 138, Barnstable County, Massachusetts",2036,1600,436,71683,81848,60250,1605,1775,1139
"25001013900","Census Tract 139, Barnstable County, Massachusetts",2247,1961,286,85778,95138,41756,1537,1584,932
